config,seed,sharpe_ratio,total_return,max_drawdown,total_trades,training_time
baseline,42,1.0031313545158642,0.3369306441731646,-0.24237271802195293,7,0:37:50.955906
baseline,123,1.9536039416646789,0.5669370746805574,-0.06890617515268871,18,0:38:03.264153
baseline,456,1.924671750949396,0.5291265161486817,-0.16126917832142496,6,0:37:52.410197
score_only,42,0.8688037218103811,0.25691361792274486,-0.2116434417208931,7,0:38:17.816481
score_only,123,1.5654506369555456,0.482577593234253,-0.20112536570871442,6,0:38:19.302133
score_only,456,1.7052902368593406,0.5098575628446581,-0.19222399223933995,10,0:38:06.953656
core_3,42,1.1451301403788727,0.41793315616333016,-0.26335141968170395,6,0:38:48.449228
core_3,123,1.1163783648044667,0.3624450789415743,-0.22585848456609303,16,0:39:14.730991
core_3,456,1.1573706832586352,0.3243212170355226,-0.1700144442998457,5,0:39:03.151324
all_sentiment,42,1.6658143010842246,0.4672376169578554,-0.16419823088200258,6,0:40:09.652323
all_sentiment,123,0.9028063084310456,0.3301439681916812,-0.26292155561698416,6,0:40:12.046117
all_sentiment,456,1.7229240021784034,0.5175434165878297,-0.1898312775847375,5,0:39:46.783954
